component,bigscape,acc,genome_id,id,family,tree_order,genus,genus_species,position,style,Host,Location,Genome Size,G size,Agriculture,num_agricultures
component_2,NIGB00000000_NIGB01000001.1.cluster012,NIGB00000000,NIGB00000000.all.maker.transcripts.fasta,seq29,Hypocreaceae,30,Escovopsis,NIGB00000000,-1,Normal,Attini,Colombia,27.38,27.4,Leafcutter,5
component_2,GCA_002022785.1_LVVK01000017.1.cluster012,GCA_002022785.1,GCA_002022785.1_ASM202278v1_cds_from_genomic.fna,seq7,Hypocreaceae,7,Trichoderma,Trichoderma guizhouense,-1,Italic,NA,NA,38.33,38.3,NA,5
component_2,GCA_000170995.2_ABDF02000093.1.cluster050,GCA_000170995.2,GCA_000170995.2_TRIVI_v2.0_cds_from_genomic.fna,seq1,Hypocreaceae,5,Trichoderma,Trichoderma virens,-1,Italic,NA,NA,39.02,39,NA,5
component_2,ICBG742_c00001_NODE_1_...cluster026,ICBG742,ICBG742.all.maker.transcripts.fasta,seq11,Hypocreaceae,29,Escovopsis,ICBG742,-1,Italic,Acromyrmex,Anavilhanas,29.69,29.7,Higher,5
component_2,ICBG2048_c00001_NODE_1_...cluster017,ICBG2048,ICBG2048.all.maker.transcripts.fasta,seq31,Hypocreaceae,14,Escovopsis,ICBG2048,-1,Italic,Cyphomyrmex,Panama,NA,0,Lower,5
component_2,GCA_000171015.2_ABDG02000029.1.cluster003,GCA_000171015.2,GCA_000171015.2_TRIAT_v2.0_cds_from_genomic.fna,seq3,Hypocreaceae,11,Trichoderma,Trichoderma atroviride,-1,Italic,NA,NA,36.14,36.1,NA,5
component_2,ICBG751_c00001_NODE_1_...cluster001,ICBG751,ICBG751.all.maker.transcripts.fasta,seq25,Hypocreaceae,26,Escovopsis,ICBG751,-1,Italic,Trachymyrmex,Anavilhanas,29.04,29,Higher,5
component_2,ICBG2049_scaffold1.cluster012,ICBG2049,ICBG2049.all.maker.transcripts.fasta,seq32,Hypocreaceae,15,Escovopsis,ICBG2049,-1,Italic,Myrmicocrypta,Panama,NA,0,Lower,5
component_2,GCA_003025115.1_KZ680207.1.cluster009,GCA_003025115.1,GCA_003025115.1_Trici_v4.0_cds_from_genomic.fna,seq8,Hypocreaceae,1,Trichoderma,Trichoderma citrinoviride,-1,Italic,NA,NA,33.13,33.1,NA,5
component_2,ICBG731_scaffold1.cluster016,ICBG731,ICBG731.all.maker.transcripts.fasta,seq13,Hypocreaceae,33,Escovopsis,ICBG731,-1,Normal,Attini,Ducke,29.13,29.1,Leafcutter,5
component_2,ICBG2047_c00001_NODE_1_...cluster017,ICBG2047,ICBG2047.all.maker.transcripts.fasta,seq28,Hypocreaceae,16,Escovopsis,ICBG2047,-1,Italic,Myrmicocrypta,Panama,29.06,29.1,Lower,5
component_2,NQYS00000000_NQYS01000001.1.cluster012,NQYS00000000,NQYS00000000.all.maker.transcripts.fasta,seq17,Hypocreaceae,32,Escovopsis,NQYS00000000,-1,Italic,Atta,Panama,NA,0,Leafcutter,5
component_2,GCA_003025095.1_KZ679675.1.cluster019,GCA_003025095.1,GCA_003025095.1_Triha_v1.0_cds_from_genomic.fna,seq12,Hypocreaceae,6,Trichoderma,Trichoderma harzianum,-1,Italic,NA,NA,40.96,41,NA,5
component_2,ICBG2046_c00001_NODE_1_...cluster001,ICBG2046,ICBG2046.all.maker.transcripts.fasta,seq21,Hypocreaceae,13,Escovopsis,ICBG2046,-1,Italic,Cyphomyrmex,Panama,25.57,25.6,Lower,5
component_2,ICBG710_c00001_NODE_1_...cluster003,ICBG710,ICBG710.all.maker.transcripts.fasta,seq5,Hypocreaceae,25,Escovopsis,ICBG710,-1,Italic,Trachymyrmex,Anavilhanas,NA,0,Higher,5
component_2,ICBG721_c00001_NODE_1_...cluster011,ICBG721,ICBG721.all.maker.transcripts.fasta,seq36,Hypocreaceae,18,Escovopsis,ICBG721,-1,Italic,Apterostigma,Ducke,30.72,30.7,Coral,5
component_2,GCA_001050175.1_LFMI01000085.1.cluster022,GCA_001050175.1,GCA_001050175.1_Tpara_v1.0_cds_from_genomic.fna,seq24,Hypocreaceae,4,Trichoderma,Trichoderma parareesei,-1,Italic,NA,NA,32.07,32.1,NA,5
component_2,ICBG1054_c00001_NODE_1_...cluster012,ICBG1054,ICBG1054.all.maker.transcripts.fasta,seq4,Hypocreaceae,19,Escovopsis,ICBG1054,-1,Italic,Apterostigma,Anavilhanas,22.14,22.1,Coral,5
component_2,GCA_000167675.2_GL985056.1.cluster015,GCA_000167675.2,GCA_000167675.2_v2.0_cds_from_genomic.fna,seq19,Hypocreaceae,3,Trichoderma,Trichoderma reesei,-1,Italic,NA,NA,33.35,33.4,NA,5
component_2,ICBG730_c00001_NODE_1_...cluster003,ICBG730,ICBG730.all.maker.transcripts.fasta,seq26,Hypocreaceae,24,Escovopsis,ICBG730,-1,Normal,Attini,Ducke,NA,0,Higher,5
component_2,ICBG726_c00001_NODE_1_...cluster014,ICBG726,ICBG726.all.maker.transcripts.fasta,seq18,Hypocreaceae,20,Escovopsis,ICBG726,-1,Italic,Apterostigma,Anavilhanas,23.22,23.2,Coral,5
component_3,ICBG1096_scaffold1.cluster001,ICBG1096,ICBG1096.all.maker.transcripts.fasta,seq37,Hypocreaceae,28,Escovopsis,ICBG1096,-1,Italic,Trachymyrmex,Anavilhanas,NA,0,Higher,3
component_3,NQYS00000000_NQYS01000001.1.cluster004,NQYS00000000,NQYS00000000.all.maker.transcripts.fasta,seq17,Hypocreaceae,32,Escovopsis,NQYS00000000,-1,Italic,Atta,Panama,NA,0,Leafcutter,3
component_3,ICBG1065_c00001_NODE_1_...cluster011,ICBG1065,ICBG1065.all.maker.transcripts.fasta,seq14,Hypocreaceae,21,Escovopsis,ICBG1065,-1,Italic,Apterostigma,Itatiaia,25.36,25.4,Coral,3
component_3,ICBG726_c00001_NODE_1_...cluster009,ICBG726,ICBG726.all.maker.transcripts.fasta,seq18,Hypocreaceae,20,Escovopsis,ICBG726,-1,Italic,Apterostigma,Anavilhanas,23.22,23.2,Coral,3
component_3,ICBG731_scaffold1.cluster010,ICBG731,ICBG731.all.maker.transcripts.fasta,seq13,Hypocreaceae,33,Escovopsis,ICBG731,-1,Normal,Attini,Ducke,29.13,29.1,Leafcutter,3
component_3,ICBG1054_c00001_NODE_1_...cluster020,ICBG1054,ICBG1054.all.maker.transcripts.fasta,seq4,Hypocreaceae,19,Escovopsis,ICBG1054,-1,Italic,Apterostigma,Anavilhanas,22.14,22.1,Coral,3
component_3,NQYQ00000000_NQYQ01000001.1.cluster018,NQYQ00000000,NQYQ00000000.all.maker.transcripts.fasta,seq20,Hypocreaceae,36,Escovopsis,NQYQ00000000,-1,Italic,Acromyrmex,Panama,31.56,31.6,Leafcutter,3
component_3,ICBG751_c00001_NODE_1_...cluster013,ICBG751,ICBG751.all.maker.transcripts.fasta,seq25,Hypocreaceae,26,Escovopsis,ICBG751,-1,Italic,Trachymyrmex,Anavilhanas,29.04,29,Higher,3
component_3,ICBG1075_c00001_NODE_1_...cluster004,ICBG1075,ICBG1075.all.maker.transcripts.fasta,seq10,Hypocreaceae,22,Escovopsis,ICBG1075,-1,Italic,Apterostigma,Itatiaia,31.71,31.7,Coral,3
component_3,NIGC00000000_NIGC01000001.1.cluster005,NIGC00000000,NIGC00000000.all.maker.transcripts.fasta,seq23,Hypocreaceae,35,Escovopsis,NIGC00000000,-1,Italic,Acromyrmex,Panama,NA,0,Leafcutter,3
component_3,ICBG736_c00001_NODE_1_...cluster011,ICBG736,ICBG736.all.maker.transcripts.fasta,seq2,Hypocreaceae,34,Escovopsis,ICBG736,-1,Italic,Acromyrmex,Anavilhanas,30.19,30.2,Leafcutter,3
component_3,ICBG712_c00001_NODE_1_...cluster003,ICBG712,ICBG712.all.maker.transcripts.fasta,seq27,Hypocreaceae,17,Escovopsis,ICBG712,-1,Italic,Apterostigma,Anavilhanas,30.72,30.7,Coral,3
component_3,NIGB00000000_NIGB01000001.1.cluster005,NIGB00000000,NIGB00000000.all.maker.transcripts.fasta,seq29,Hypocreaceae,30,Escovopsis,NIGB00000000,-1,Normal,Attini,Colombia,27.38,27.4,Leafcutter,3
component_3,NQYR00000000_NQYR01000001.1.cluster014,NQYR00000000,NQYR00000000.all.maker.transcripts.fasta,seq35,Hypocreaceae,37,Escovopsis,NQYR00000000,-1,Italic,Acromyrmex,Panama,29.98,30,Leafcutter,3
component_3,ICBG710_c00001_NODE_1_...cluster018,ICBG710,ICBG710.all.maker.transcripts.fasta,seq5,Hypocreaceae,25,Escovopsis,ICBG710,-1,Italic,Trachymyrmex,Anavilhanas,NA,0,Higher,3
component_3,ICBG721_c00001_NODE_1_...cluster012,ICBG721,ICBG721.all.maker.transcripts.fasta,seq36,Hypocreaceae,18,Escovopsis,ICBG721,-1,Italic,Apterostigma,Ducke,30.72,30.7,Coral,3
component_3,ICBG733_c00001_NODE_1_...cluster001,ICBG733,ICBG733.all.maker.transcripts.fasta,seq6,Hypocreaceae,27,Escovopsis,ICBG733,-1,Italic,Trachymyrmex,Ducke,27.31,27.3,Higher,3
component_3,NIGD00000000_NIGD01000001.1.cluster004,NIGD00000000,NIGD00000000.all.maker.transcripts.fasta,seq15,Hypocreaceae,23,Escovopsis,NIGD00000000,-1,Italic,Trachymyrmex,Panama,NA,0,Higher,3
component_4,NQYR00000000_NQYR01000001.1.cluster002,NQYR00000000,NQYR00000000.all.maker.transcripts.fasta,seq35,Hypocreaceae,37,Escovopsis,NQYR00000000,-1,Italic,Acromyrmex,Panama,29.98,30,Leafcutter,5
component_4,NIGD00000000_NIGD01000001.1.cluster006,NIGD00000000,NIGD00000000.all.maker.transcripts.fasta,seq15,Hypocreaceae,23,Escovopsis,NIGD00000000,-1,Italic,Trachymyrmex,Panama,NA,0,Higher,5
component_4,ICBG736_c00001_NODE_1_...cluster003,ICBG736,ICBG736.all.maker.transcripts.fasta,seq2,Hypocreaceae,34,Escovopsis,ICBG736,-1,Italic,Acromyrmex,Anavilhanas,30.19,30.2,Leafcutter,5
component_4,ICBG1075_c00001_NODE_1_...cluster009,ICBG1075,ICBG1075.all.maker.transcripts.fasta,seq10,Hypocreaceae,22,Escovopsis,ICBG1075,-1,Italic,Apterostigma,Itatiaia,31.71,31.7,Coral,5
component_4,GCA_002022785.1_LVVK01000017.1.cluster011,GCA_002022785.1,GCA_002022785.1_ASM202278v1_cds_from_genomic.fna,seq7,Hypocreaceae,7,Trichoderma,Trichoderma guizhouense,-1,Italic,NA,NA,38.33,38.3,NA,5
component_4,GCA_000171015.2_ABDG02000029.1.cluster002,GCA_000171015.2,GCA_000171015.2_TRIAT_v2.0_cds_from_genomic.fna,seq3,Hypocreaceae,11,Trichoderma,Trichoderma atroviride,-1,Italic,NA,NA,36.14,36.1,NA,5
component_4,GCA_003025115.1_KZ680207.1.cluster008,GCA_003025115.1,GCA_003025115.1_Trici_v4.0_cds_from_genomic.fna,seq8,Hypocreaceae,1,Trichoderma,Trichoderma citrinoviride,-1,Italic,NA,NA,33.13,33.1,NA,5
component_4,GCA_003025095.1_KZ679675.1.cluster018,GCA_003025095.1,GCA_003025095.1_Triha_v1.0_cds_from_genomic.fna,seq12,Hypocreaceae,6,Trichoderma,Trichoderma harzianum,-1,Italic,NA,NA,40.96,41,NA,5
component_4,ICBG710_c00001_NODE_1_...cluster013,ICBG710,ICBG710.all.maker.transcripts.fasta,seq5,Hypocreaceae,25,Escovopsis,ICBG710,-1,Italic,Trachymyrmex,Anavilhanas,NA,0,Higher,5
component_4,GCA_001050175.1_LFMI01000085.1.cluster023,GCA_001050175.1,GCA_001050175.1_Tpara_v1.0_cds_from_genomic.fna,seq24,Hypocreaceae,4,Trichoderma,Trichoderma parareesei,-1,Italic,NA,NA,32.07,32.1,NA,5
component_4,ICBG2047_c00001_NODE_1_...cluster005,ICBG2047,ICBG2047.all.maker.transcripts.fasta,seq28,Hypocreaceae,16,Escovopsis,ICBG2047,-1,Italic,Myrmicocrypta,Panama,29.06,29.1,Lower,5
component_4,ICBG1065_c00001_NODE_1_...cluster017,ICBG1065,ICBG1065.all.maker.transcripts.fasta,seq14,Hypocreaceae,21,Escovopsis,ICBG1065,-1,Italic,Apterostigma,Itatiaia,25.36,25.4,Coral,5
component_4,GCA_003012105.1_PXOA01000002.1.cluster042,GCA_003012105.1,GCA_003012105.1_Trichoderma_arundinaceum_IBT40837_contigs_cds_from_genomic.fna,seq22,Hypocreaceae,8,Trichoderma,Trichoderma arundinaceum,-1,Italic,NA,NA,36.87,36.9,NA,5
component_4,ICBG2049_scaffold1.cluster006,ICBG2049,ICBG2049.all.maker.transcripts.fasta,seq32,Hypocreaceae,15,Escovopsis,ICBG2049,-1,Italic,Myrmicocrypta,Panama,NA,0,Lower,5
component_4,ICBG721_c00001_NODE_1_...cluster008,ICBG721,ICBG721.all.maker.transcripts.fasta,seq36,Hypocreaceae,18,Escovopsis,ICBG721,-1,Italic,Apterostigma,Ducke,30.72,30.7,Coral,5
component_4,GCA_000167675.2_GL985056.1.cluster023,GCA_000167675.2,GCA_000167675.2_v2.0_cds_from_genomic.fna,seq19,Hypocreaceae,3,Trichoderma,Trichoderma reesei,-1,Italic,NA,NA,33.35,33.4,NA,5
component_4,ICBG751_c00001_NODE_1_...cluster021,ICBG751,ICBG751.all.maker.transcripts.fasta,seq25,Hypocreaceae,26,Escovopsis,ICBG751,-1,Italic,Trachymyrmex,Anavilhanas,29.04,29,Higher,5
component_4,ICBG731_scaffold1.cluster003,ICBG731,ICBG731.all.maker.transcripts.fasta,seq13,Hypocreaceae,33,Escovopsis,ICBG731,-1,Normal,Attini,Ducke,29.13,29.1,Leafcutter,5
component_4,ICBG2046_c00001_NODE_1_...cluster014,ICBG2046,ICBG2046.all.maker.transcripts.fasta,seq21,Hypocreaceae,13,Escovopsis,ICBG2046,-1,Italic,Cyphomyrmex,Panama,25.57,25.6,Lower,5
component_4,GCA_004303015.1_ASM430301v1_genomic_RZGP01000001.1.cluster022,GCA_004303015.1,GCA_004303015.1_ASM430301v1_genomic.all.maker.transcripts.fasta,seq9,Hypocreaceae,12,Cladobotryum,Cladobotryum protrusum,-1,Italic,NA,NA,39.09,39.1,NA,5
component_4,ICBG733_c00001_NODE_1_...cluster012,ICBG733,ICBG733.all.maker.transcripts.fasta,seq6,Hypocreaceae,27,Escovopsis,ICBG733,-1,Italic,Trachymyrmex,Ducke,27.31,27.3,Higher,5
component_4,ICBG712_c00001_NODE_1_...cluster009,ICBG712,ICBG712.all.maker.transcripts.fasta,seq27,Hypocreaceae,17,Escovopsis,ICBG712,-1,Italic,Apterostigma,Anavilhanas,30.72,30.7,Coral,5
component_4,ICBG726_c00001_NODE_1_...cluster023,ICBG726,ICBG726.all.maker.transcripts.fasta,seq18,Hypocreaceae,20,Escovopsis,ICBG726,-1,Italic,Apterostigma,Anavilhanas,23.22,23.2,Coral,5
component_4,GCA_003025105.1_KZ679256.1.cluster020,GCA_003025105.1,GCA_003025105.1_Trias_v._1.0_cds_from_genomic.fna,seq16,Hypocreaceae,9,Trichoderma,Trichoderma asperellum,-1,Italic,NA,NA,37.44,37.4,NA,5
component_4,NIGB00000000_NIGB01000001.1.cluster011,NIGB00000000,NIGB00000000.all.maker.transcripts.fasta,seq29,Hypocreaceae,30,Escovopsis,NIGB00000000,-1,Normal,Attini,Colombia,27.38,27.4,Leafcutter,5
component_4,ICBG2048_c00001_NODE_1_...cluster010,ICBG2048,ICBG2048.all.maker.transcripts.fasta,seq31,Hypocreaceae,14,Escovopsis,ICBG2048,-1,Italic,Cyphomyrmex,Panama,NA,0,Lower,5
component_4,GCA_000170995.2_ABDF02000093.1.cluster051,GCA_000170995.2,GCA_000170995.2_TRIVI_v2.0_cds_from_genomic.fna,seq1,Hypocreaceae,5,Trichoderma,Trichoderma virens,-1,Italic,NA,NA,39.02,39,NA,5
component_4,ICBG730_c00001_NODE_1_...cluster014,ICBG730,ICBG730.all.maker.transcripts.fasta,seq26,Hypocreaceae,24,Escovopsis,ICBG730,-1,Normal,Attini,Ducke,NA,0,Higher,5
component_4,NQYS00000000_NQYS01000001.1.cluster013,NQYS00000000,NQYS00000000.all.maker.transcripts.fasta,seq17,Hypocreaceae,32,Escovopsis,NQYS00000000,-1,Italic,Atta,Panama,NA,0,Leafcutter,5
component_4,NIGC00000000_NIGC01000001.1.cluster012,NIGC00000000,NIGC00000000.all.maker.transcripts.fasta,seq23,Hypocreaceae,35,Escovopsis,NIGC00000000,-1,Italic,Acromyrmex,Panama,NA,0,Leafcutter,5
component_4,ICBG742_c00001_NODE_1_...cluster020,ICBG742,ICBG742.all.maker.transcripts.fasta,seq11,Hypocreaceae,29,Escovopsis,ICBG742,-1,Italic,Acromyrmex,Anavilhanas,29.69,29.7,Higher,5
component_4,ICBG1096_scaffold1.cluster012,ICBG1096,ICBG1096.all.maker.transcripts.fasta,seq37,Hypocreaceae,28,Escovopsis,ICBG1096,-1,Italic,Trachymyrmex,Anavilhanas,NA,0,Higher,5
component_4,NQYQ00000000_NQYQ01000001.1.cluster007,NQYQ00000000,NQYQ00000000.all.maker.transcripts.fasta,seq20,Hypocreaceae,36,Escovopsis,NQYQ00000000,-1,Italic,Acromyrmex,Panama,31.56,31.6,Leafcutter,5
component_5,GCA_001481775.2_JPDN02000001.1.cluster012,GCA_001481775.2,GCA_001481775.2_TGAM01v2_cds_from_genomic.fna,seq33,Hypocreaceae,10,Trichoderma,Trichoderma gamsii,-1,Italic,NA,NA,37.91,37.9,NA,1
component_5,GCA_003025105.1_KZ679256.1.cluster033,GCA_003025105.1,GCA_003025105.1_Trias_v._1.0_cds_from_genomic.fna,seq16,Hypocreaceae,9,Trichoderma,Trichoderma asperellum,-1,Italic,NA,NA,37.44,37.4,NA,1
component_5,GCA_003012105.1_PXOA01000002.1.cluster006,GCA_003012105.1,GCA_003012105.1_Trichoderma_arundinaceum_IBT40837_contigs_cds_from_genomic.fna,seq22,Hypocreaceae,8,Trichoderma,Trichoderma arundinaceum,-1,Italic,NA,NA,36.87,36.9,NA,1
component_5,GCA_000171015.2_ABDG02000029.1.cluster030,GCA_000171015.2,GCA_000171015.2_TRIAT_v2.0_cds_from_genomic.fna,seq3,Hypocreaceae,11,Trichoderma,Trichoderma atroviride,-1,Italic,NA,NA,36.14,36.1,NA,1
component_6,GCA_000170995.2_ABDF02000093.1.cluster001,GCA_000167675.2,GCA_000167675.2_v2.0_cds_from_genomic.fna,seq19,Hypocreaceae,3,Trichoderma,Trichoderma reesei,-1,Italic,NA,NA,33.35,33.4,NA,1
component_6,GCA_003025095.1_KZ679675.1.cluster007,GCA_003025095.1,GCA_003025095.1_Triha_v1.0_cds_from_genomic.fna,seq12,Hypocreaceae,6,Trichoderma,Trichoderma harzianum,-1,Italic,NA,NA,40.96,41,NA,1
component_6,GCA_002022785.1_LVVK01000017.1.cluster023,GCA_002022785.1,GCA_002022785.1_ASM202278v1_cds_from_genomic.fna,seq7,Hypocreaceae,7,Trichoderma,Trichoderma guizhouense,-1,Italic,NA,NA,38.33,38.3,NA,1
component_6,GCA_003012105.1_PXOA01000002.1.cluster036,GCA_003012105.1,GCA_003012105.1_Trichoderma_arundinaceum_IBT40837_contigs_cds_from_genomic.fna,seq22,Hypocreaceae,8,Trichoderma,Trichoderma arundinaceum,-1,Italic,NA,NA,36.87,36.9,NA,1
component_6,GCA_001050175.1_LFMI01000085.1.cluster003,GCA_001050175.1,GCA_001050175.1_Tpara_v1.0_cds_from_genomic.fna,seq24,Hypocreaceae,4,Trichoderma,Trichoderma parareesei,-1,Italic,NA,NA,32.07,32.1,NA,1
component_6,GCA_000167675.2_GL985056.1.cluster022,GCA_000167675.2,GCA_000167675.2_v2.0_cds_from_genomic.fna,seq19,Hypocreaceae,3,Trichoderma,Trichoderma reesei,-1,Italic,NA,NA,33.35,33.4,NA,1
component_6,GCA_003025115.1_KZ680207.1.cluster015,GCA_003025115.1,GCA_003025115.1_Trici_v4.0_cds_from_genomic.fna,seq8,Hypocreaceae,1,Trichoderma,Trichoderma citrinoviride,-1,Italic,NA,NA,33.13,33.1,NA,1
component_6,GCA_003025155.1_KZ679126.1.cluster014,GCA_003025155.1,GCA_003025155.1_Trilo3_cds_from_genomic.fna,seq34,Hypocreaceae,2,Trichoderma,Trichoderma longibrachiatum,-1,Italic,NA,NA,31.19,31.2,NA,1
component_7,GCA_002022785.1_LVVK01000017.1.cluster030,GCA_002022785.1,GCA_002022785.1_ASM202278v1_cds_from_genomic.fna,seq7,Hypocreaceae,7,Trichoderma,Trichoderma guizhouense,-1,Italic,NA,NA,38.33,38.3,NA,1
